Идентификатор поля,id_txt,title,title_alter,date_start,type_app,applicant_title,applicant_url
Тип поля,Число,Текст,Дата,Длинный текст,Длинный текст,Длинный текст
Описание поля,Регистрационный номер,Название продукта,Другие названия продукта,Дата регистрации в реестре,Класс ПО,Наименование заявителя,Сайт производителя
1,Система управления базами данных «Ред База Данных»,СУБД «Ред База Данных»,29 Января 2016,Системы управления базами данных,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕД СОФТ""",http://www.red-soft.ru/ru/document_2_5
3,"1С:Школа. Русский язык, 5–6 класс. Лексикология",,29 Января 2016,"Системы управления процессами организации
Информационные системы для решения специфических отраслевых задач","Общество с ограниченной ответственностью ""1С-Паблишинг""",http://obr.1c.ru/educational/uchenikam/russkiy-yazyk-5-6-kl-leksikologiya/
5,1С:Комплексная автоматизация 8,,20 Февраля 2016,Системы управления процессами организации,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1С-СОФТ""",http://v8.1c.ru/ka/
8,"Система электронного документооборота и автоматизации бизнес-процессов ""Е1 Евфрат""",Е1 Евфрат,20 Февраля 2016,"Офисные приложения
Прикладное программное обеспечение общего назначения
Системы управления процессами организации
Системы сбора, хранения, обработки, анализа, моделирования и визуализации массивов данных","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОГНИТИВ""",http://www.evfrat.ru
6,"Электронный периодический справочник ""Система ГАРАНТ""","ЭПС ""Система ГАРАНТ""",20 Февраля 2016,"Информационные системы для решения специфических отраслевых задач
Поисковые системы","ООО ""Научно-производственное предприятие ""ГАРАНТ-СЕРВИС-УНИВЕРСИТЕТ""",http://www.aero.garant.ru
7,Альт Линукс КДесктоп,ALT Linux KDesktop,20 Февраля 2016,"Утилиты и драйверы
Операционные системы
Прикладное программное обеспечение общего назначения",Общество с ограниченной ответственностью «Альт Линукс»,http://www.altlinux.ru/products/7th-platform/kdesktop/
4,Альт Линукс 7.0 Кентавр,ALT Linux 7.0 Centaurus,20 Февраля 2016,"Утилиты и драйверы
Средства подготовки исполнимого кода
Средства версионного контроля исходного кода
Средства обеспечения облачных и распределенных вычислений, средства виртуализации и системы хранения данных
Среды разработки, тестирования и отладки
Операционные системы",Общество с ограниченной ответственностью «Альт Линукс»,http://www.altlinux.ru/products/7th-platform/centaurus/
2,"1С:Школа. Информатика, 11 класс",,29 Января 2016,"Системы управления процессами организации
Информационные системы для решения специфических отраслевых задач","Общество с ограниченной ответственностью ""1С-Паблишинг""",http://obr.1c.ru/educational/uchenikam/informatika-11-kl-2-e-izd-/
9,Альт Линукс СПТ,"Альт Линукс СПТ, сертификат ФСТЭК",20 Февраля 2016,"Средства подготовки исполнимого кода
Утилиты и драйверы
Средства версионного контроля исходного кода
Средства обеспечения облачных и распределенных вычислений, средства виртуализации и системы хранения данных
Серверное и связующее программное обеспечение
Среды разработки, тестирования и отладки
Операционные системы
Прикладное программное обеспечение общего назначения
Средства обеспечения информационной безопасности","Общество с ограниченной ответственностью ""Свободные программы и технологии",http://sptlinux.ru/
10,ABBYY ScanDifFinder SDK,,20 Февраля 2016,"Библиотеки подпрограмм (SDK)
Лингвистическое программное обеспечение
Системы сбора, хранения, обработки, анализа, моделирования и визуализации массивов данных","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АБИ ПРОДАКШН""",http://www.abbyy.ru/scandiffinder/
12,ABBYY FineReader Банк,ABBYY FineReader Bank,20 Февраля 2016,"Лингвистическое программное обеспечение
Информационные системы для решения специфических отраслевых задач
Системы сбора, хранения, обработки, анализа, моделирования и визуализации массивов данных","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АБИ ПРОДАКШН""",http://www.abbyy.ru/finereader-bank/
